City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,paita,-5.0892,-81.1144,25.87,58,37,6.9,PE,1674067030
512,rio novo do sul,-20.8625,-40.9364,26.34,82,35,4.0,BR,1674067031
513,nome,64.5011,-165.4064,-23.96,70,0,5.14,US,1674067031
514,amreli,21.6167,71.2333,18.76,26,29,3.39,IN,1674067032
515,maragogi,-9.0122,-35.2225,27.67,71,35,5.35,BR,1674066766
516,requena,39.4883,-1.1004,5.84,52,2,7.73,ES,1674067033
517,rio blanco,18.8333,-97.15,28.71,28,27,1.12,MX,1674067034
518,norfolk,42.1668,-71.2495,10.94,62,100,6.69,US,1674067035
519,kaluga,54.5,35.5,1.79,90,100,10.27,RU,1674067035
520,nkhata bay,-11.6066,34.2907,22.64,85,100,0.67,MW,1674067036
521,filadelfia,39.9523,-75.1638,12.86,56,75,7.2,US,1674066882
522,adrar,20.5022,-10.0711,20.85,24,100,4.04,MR,1674067037
523,bereda,43.2686,-7.5406,3.65,100,95,1.68,ES,1674067037
524,ishigaki,24.3448,124.1572,15.07,94,100,6.17,JP,1674067038
525,lensk,60.7253,114.9278,-42.16,95,100,1.53,RU,1674067039
526,moreira sales,-24.0622,-53.0069,28.62,66,100,5.0,BR,1674067039
527,camacha,33.0833,-16.3333,13.68,72,40,8.23,PT,1674067040
528,cururupu,-1.8283,-44.8683,26.16,86,100,1.65,BR,1674066809
529,coihaique,-45.5752,-72.0662,29.34,28,0,3.6,CL,1674067041
530,dwarka,22.2394,68.9678,20.28,53,100,3.76,IN,1674067041
531,evensk,61.95,159.2333,-21.47,73,100,4.48,RU,1674067042
532,makiling,14.1513,121.1386,24.76,86,81,5.49,PH,1674067043
533,ipixuna,-1.7625,-48.8043,22.76,97,100,1.08,BR,1674067043
534,harper,4.375,-7.7169,27.05,78,78,3.78,LR,1674067044
535,manta,-0.95,-80.7333,27.88,69,40,3.6,EC,1674066815
536,abu samrah,35.3029,37.1841,10.62,79,6,2.41,SY,1674067046
537,namatanai,-3.6667,152.4333,26.04,82,86,2.71,PG,1674067046
538,sundumbili,-29.1337,31.3975,25.84,78,14,4.96,ZA,1674067047
539,gobabis,-22.45,18.9667,22.48,61,92,7.53,NA,1674067048
540,dongsheng,39.8161,109.9776,-10.97,63,8,10.64,CN,1674067048
541,zhanaozen,43.3,52.8,-2.64,40,12,4.53,KZ,1674067049
542,san isidro,-12.1167,-77.05,24.77,65,0,4.12,PE,1674067049
543,college,64.8569,-147.8028,-26.62,74,40,0.0,US,1674067049
544,pontianak,-0.0333,109.3333,23.99,100,75,0.51,ID,1674067050
545,rosh pinna,32.9689,35.5426,13.52,71,0,2.14,IL,1674067050
546,amnat charoen,15.9167,104.75,14.64,81,95,6.72,TH,1674067051
547,luohe,33.5717,114.0353,1.98,52,75,3.44,CN,1674067051
548,jasper,37.2001,-94.3502,11.05,90,100,7.72,US,1674067052
549,caledonia,42.8078,-87.9242,4.01,78,40,5.14,US,1674067052
550,agadir,30.4202,-9.5982,20.25,54,0,3.05,MA,1674067053
551,isangel,-19.55,169.2667,24.06,100,100,1.03,VU,1674067053
552,bara,10.3744,10.7288,23.84,24,2,3.37,NG,1674067053
553,ballina,-28.8667,153.5667,17.23,98,6,2.21,AU,1674067054
554,altamira,-3.2033,-52.2064,27.05,78,75,3.09,BR,1674067054
555,puerto madero,14.7208,-92.4215,30.11,51,0,3.09,MX,1674067054
556,carballo,43.213,-8.691,9.93,80,86,4.24,ES,1674067055
557,tacoronte,28.4769,-16.4102,15.7,94,75,5.36,ES,1674067056
558,karmaskaly,54.3709,56.1837,-17.87,83,2,2.35,RU,1674067057
559,berbera,10.4396,45.0143,24.35,71,63,2.34,SO,1674067057
560,wagga wagga,-35.1167,147.3667,12.82,87,100,1.79,AU,1674067058
561,buzmeyin,38.0507,58.2056,-3.15,80,1,1.03,TM,1674067058
562,laguna,38.421,-121.4238,11.16,79,0,4.12,US,1674066853
563,mundo nuevo,18.7,-95.5,27.46,71,29,6.75,MX,1674067058
564,aswan,24.0934,32.907,20.61,34,0,2.06,EG,1674067059
565,lagos,6.5833,3.75,26.86,73,29,3.45,NG,1674066600
